"","CustomerId","Surname","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited","CreditScoreBins","AgeBins","TenureFactor"
"1","15634602","Hargrave",619,"France","Female",42,"2",0,1,"Yes","active",101348.88,"exited","(610,620]","(40,45]","2"
"2","15647311","Hill",608,"Spain","Female",41,"1",83807.86,1,"No","active",112542.58,"retained","(600,610]","(40,45]","1"
"3","15619304","Onio",502,"France","Female",42,"8",159660.8,3,"Yes","inactive",113931.57,"exited","(500,510]","(40,45]","8"
"4","15701354","Boni",699,"France","Female",39,"1",0,2,"No","inactive",93826.63,"retained","(690,700]","(35,40]","1"
"5","15737888","Mitchell",850,"Spain","Female",43,"2",125510.82,1,"Yes","active",79084.1,"retained","(840,850]","(40,45]","2"
"6","15574012","Chu",645,"Spain","Male",44,"8",113755.78,2,"Yes","inactive",149756.71,"exited","(640,650]","(40,45]","8"
"7","15592531","Bartlett",822,"France","Male",50,"7",0,2,"Yes","active",10062.8,"retained","(820,830]","(45,50]","7"
"8","15656148","Obinna",376,"Germany","Female",29,"4",115046.74,4,"Yes","inactive",119346.88,"exited","(370,380]","(25,30]","4"
"9","15792365","He",501,"France","Male",44,"4",142051.07,2,"No","active",74940.5,"retained","(500,510]","(40,45]","4"
"10","15592389","H?",684,"France","Male",27,"2",134603.88,1,"Yes","active",71725.73,"retained","(680,690]","(25,30]","2"
"11","15767821","Bearce",528,"France","Male",31,"6",102016.72,2,"No","inactive",80181.12,"retained","(520,530]","(30,35]","6"
"12","15737173","Andrews",497,"Spain","Male",24,"3",0,2,"Yes","inactive",76390.01,"retained","(490,500]","(17,25]","3"
"13","15632264","Kay",476,"France","Female",34,"10",0,2,"Yes","inactive",26260.98,"retained","(470,480]","(30,35]","10"
"14","15691483","Chin",549,"France","Female",25,"5",0,2,"No","inactive",190857.79,"retained","(540,550]","(17,25]","5"
"15","15600882","Scott",635,"Spain","Female",35,"7",0,2,"Yes","active",65951.65,"retained","(630,640]","(30,35]","7"
"16","15643966","Goforth",616,"Germany","Male",45,"3",143129.41,2,"No","active",64327.26,"retained","(610,620]","(40,45]","3"
"17","15737452","Romeo",653,"Germany","Male",58,"1",132602.88,1,"Yes","inactive",5097.67,"exited","(650,660]","(55,60]","1"
"18","15788218","Henderson",549,"Spain","Female",24,"9",0,2,"Yes","active",14406.41,"retained","(540,550]","(17,25]","9"
"19","15661507","Muldrow",587,"Spain","Male",45,"6",0,1,"No","inactive",158684.81,"retained","(580,590]","(40,45]","6"
"20","15568982","Hao",726,"France","Female",24,"6",0,2,"Yes","active",54724.03,"retained","(720,730]","(17,25]","6"
"21","15577657","McDonald",732,"France","Male",41,"8",0,2,"Yes","active",170886.17,"retained","(730,740]","(40,45]","8"
"22","15597945","Dellucci",636,"Spain","Female",32,"8",0,2,"Yes","inactive",138555.46,"retained","(630,640]","(30,35]","8"
"23","15699309","Gerasimov",510,"Spain","Female",38,"4",0,1,"Yes","inactive",118913.53,"exited","(500,510]","(35,40]","4"
"24","15725737","Mosman",669,"France","Male",46,"3",0,2,"No","active",8487.75,"retained","(660,670]","(45,50]","3"
"25","15625047","Yen",846,"France","Female",38,"5",0,1,"Yes","active",187616.16,"retained","(840,850]","(35,40]","5"
"26","15738191","Maclean",577,"France","Male",25,"3",0,2,"No","active",124508.29,"retained","(570,580]","(17,25]","3"
"27","15736816","Young",756,"Germany","Male",36,"2",136815.64,1,"Yes","active",170041.95,"retained","(750,760]","(35,40]","2"
"28","15700772","Nebechi",571,"France","Male",44,"9",0,2,"No","inactive",38433.35,"retained","(570,580]","(40,45]","9"
"29","15728693","McWilliams",574,"Germany","Female",43,"3",141349.43,1,"Yes","active",100187.43,"retained","(570,580]","(40,45]","3"
"30","15656300","Lucciano",411,"France","Male",29,"0",59697.17,2,"Yes","active",53483.21,"retained","(410,420]","(25,30]","0"
"31","15589475","Azikiwe",591,"Spain","Female",39,"3",0,3,"Yes","inactive",140469.38,"exited","(590,600]","(35,40]","3"
"32","15706552","Odinakachukwu",533,"France","Male",36,"7",85311.7,1,"No","active",156731.91,"retained","(530,540]","(35,40]","7"
"33","15750181","Sanderson",553,"Germany","Male",41,"9",110112.54,2,"No","inactive",81898.81,"retained","(550,560]","(40,45]","9"
"34","15659428","Maggard",520,"Spain","Female",42,"6",0,2,"Yes","active",34410.55,"retained","(510,520]","(40,45]","6"
"35","15732963","Clements",722,"Spain","Female",29,"9",0,2,"Yes","active",142033.07,"retained","(720,730]","(25,30]","9"
"36","15794171","Lombardo",475,"France","Female",45,"0",134264.04,1,"Yes","inactive",27822.99,"exited","(470,480]","(40,45]","0"
"37","15788448","Watson",490,"Spain","Male",31,"3",145260.23,1,"No","active",114066.77,"retained","(480,490]","(30,35]","3"
"38","15729599","Lorenzo",804,"Spain","Male",33,"7",76548.6,1,"No","active",98453.45,"retained","(800,810]","(30,35]","7"
"39","15717426","Armstrong",850,"France","Male",36,"7",0,1,"Yes","active",40812.9,"retained","(840,850]","(35,40]","7"
"40","15585768","Cameron",582,"Germany","Male",41,"6",70349.48,2,"No","active",178074.04,"retained","(580,590]","(40,45]","6"
"41","15619360","Hsiao",472,"Spain","Male",40,"4",0,1,"Yes","inactive",70154.22,"retained","(470,480]","(35,40]","4"
"42","15738148","Clarke",465,"France","Female",51,"8",122522.32,1,"No","inactive",181297.65,"exited","(460,470]","(50,55]","8"
"43","15687946","Osborne",556,"France","Female",61,"2",117419.35,1,"Yes","active",94153.83,"retained","(550,560]","(60,65]","2"
"44","15755196","Lavine",834,"France","Female",49,"2",131394.56,1,"No","inactive",194365.76,"exited","(830,840]","(45,50]","2"
"45","15684171","Bianchi",660,"Spain","Female",61,"5",155931.11,1,"Yes","active",158338.39,"retained","(650,660]","(60,65]","5"
"46","15754849","Tyler",776,"Germany","Female",32,"4",109421.13,2,"Yes","active",126517.46,"retained","(770,780]","(30,35]","4"
"47","15602280","Martin",829,"Germany","Female",27,"9",112045.67,1,"Yes","active",119708.21,"exited","(820,830]","(25,30]","9"
"48","15771573","Okagbue",637,"Germany","Female",39,"9",137843.8,1,"Yes","active",117622.8,"exited","(630,640]","(35,40]","9"
"49","15766205","Yin",550,"Germany","Male",38,"2",103391.38,1,"No","active",90878.13,"retained","(540,550]","(35,40]","2"
"50","15771873","Buccho",776,"Germany","Female",37,"2",103769.22,2,"Yes","inactive",194099.12,"retained","(770,780]","(35,40]","2"
"51","15616550","Chidiebele",698,"Germany","Male",44,"10",116363.37,2,"Yes","inactive",198059.16,"retained","(690,700]","(40,45]","10"
"52","15768193","Trevisani",585,"Germany","Male",36,"5",146050.97,2,"No","inactive",86424.57,"retained","(580,590]","(35,40]","5"
"53","15683553","O'Brien",788,"France","Female",33,"5",0,2,"No","inactive",116978.19,"retained","(780,790]","(30,35]","5"
